ADD (3,4) (4,9)
SUB (13,24) (11,21)
SUB (-6,8) (4,-4)
ABS (9,-7)
PROD (4,8) (7,-4)
QUOT (2,3) (3,4)
ADD (1234567890876543456776545678909876545678909872652351237981235127835182538712678129612967832701827381729361853178547836149812781331773231,14894536712751263526712332490125671527512635126531672567125671256125377284238) (162536712751263526712536712567152751263512653167256712567125612537723923,998121378908765434567765456789098765456789043232652351237981235127835182538712678129612967832701827381729361853178547836149812781331773231)
SUB (298121378908765434567765456789098765456789043232652351237981235127835182538712678129612967832701827381729361853178547836149812,981213789087654345677654567823449876545678904323265235123798123512783518253871267812961296783270182738172936185317854783614977) (348945367127512635267123324901256715275126351265316725671256712561253772842348724327,14894536712751263526712332490125671527512635126531672567125671256125377284234872435445)
PROD (18289453671275126352671233249012567152751263512653167256712567125612537728423487242732,9087654345677654567823449876545678904323265235123798123512783518253871267812961296783270182738172936185317854783614) (18289453671275126352671233249012567152751263512653167256712567125612537728423487242732,-9087654345677654567823449876545678904323265235123798123512783518253871267812961296783270182738172936185317854783614)
QUOT (458754875965.5849675494769590657506759675689769686864867485673865738464836486548648356456456486846969465997659657829375497587435467,567483987465748934857674895767584975684576748756748756758576587656756587658.6758498575894857658948576856785678567857596785678576589457598678567856785768787865678786786786) (875675677675675847684767847567485767485784574875678475748756748754.758498576584576587648756548576584758457878475485765845765876587658457,587493047593578758495749574957684957854957495784957894579457894578957849.765849567849357493576594576854956795046879087954679467594)


